sa_2022_code,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
217163001,27,25,3,55,6,2,8,1,4,1,1,3,0,0
097084001,19,10,1,33,0,2,4,1,0,0,0,1,0,2
077165003,13,10,0,10,0,1,3,0,0,0,0,0,2,0
247095002,16,18,4,54,3,4,5,0,2,0,0,0,2,0
097050003,24,16,2,18,4,2,2,1,0,0,0,2,1,1
017020001,25,16,7,54,5,2,12,2,3,0,1,1,6,2
247072001,19,21,3,36,5,1,6,2,4,0,1,0,1,4
047200001,19,14,3,13,4,0,3,0,1,0,0,0,1,1
047123002,21,15,1,15,7,0,2,0,1,0,2,1,1,1
067200002/067200003,27,3,0,6,3,1,6,0,3,0,0,2,3,1
037034001,26,15,2,32,4,4,5,1,1,0,0,1,3,1
037045001,14,12,1,24,1,1,4,1,2,1,0,3,1,0
097007001,16,20,5,45,2,1,4,1,2,0,1,3,2,3
097008001,18,25,4,61,4,2,9,3,6,2,2,1,7,3
017043001,14,10,1,43,4,1,6,1,6,0,0,1,1,4
097011002,9,18,4,35,3,0,3,2,2,0,0,1,1,3
047021002,28,10,4,9,1,0,3,1,1,0,0,0,1,3
047160003,27,20,3,42,5,0,11,0,3,0,0,1,0,5
047137001,26,32,4,48,4,1,6,0,6,1,2,1,5,8
037148001,13,7,4,27,5,2,5,0,0,0,0,0,1,1
037048001,18,10,4,17,1,0,2,1,0,0,1,1,3,4
037037001,14,12,1,27,5,1,3,0,1,0,3,0,0,27
107045001,16,13,3,37,2,0,8,1,5,0,0,2,1,3
097082001,26,25,4,73,4,2,10,2,2,0,0,2,6,7
017017001,26,26,4,43,7,2,10,0,4,0,1,2,2,0
017003001,20,18,1,31,2,1,5,0,1,0,2,4,1,5
047034002,18,30,3,44,2,1,7,2,2,2,0,0,0,4
067026001/067026005,26,29,6,46,1,0,6,4,7,0,0,1,3,3
217090001,31,15,1,16,4,2,3,1,1,0,0,1,0,7
217159002,23,16,4,27,2,1,7,1,2,0,1,1,0,4
077050001,5,6,0,8,0,0,2,0,0,0,0,0,0,0
067126002,26,21,3,48,2,0,8,0,2,0,2,0,0,6
067138001,20,21,4,62,6,2,7,0,3,0,1,2,4,0
067207001,18,22,2,40,6,1,4,3,2,0,0,2,0,1
217011002,20,18,3,28,6,1,6,1,0,0,1,2,3,1
217011001,32,26,6,33,8,0,5,0,4,0,1,2,3,5
217123001,11,15,3,15,0,1,4,2,2,1,2,0,1,1
077078009,11,7,3,11,2,0,1,0,0,0,1,1,2,0
077043002/077043006,22,8,3,12,4,0,2,2,0,0,0,1,1,0
047240002,15,18,7,67,5,5,5,2,2,0,0,0,2,2
227053001,25,19,5,29,6,0,6,0,2,0,1,0,2,0
077144002,15,12,4,37,0,1,5,0,1,0,3,1,3,3
077017001,29,20,2,56,8,3,7,0,1,0,0,2,2,0
047167002,29,16,5,31,2,0,3,1,2,0,0,0,0,1
227063001,18,11,2,34,5,3,3,1,0,0,0,0,1,0
