sa_2015_code,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
SA2017_017001001,23,18,5,63,2,5,8,0,2,0,1,1,1,0
SA2017_017002001,19,21,3,53,3,1,5,2,2,0,0,3,2,0
SA2017_017002002,20,27,4,51,11,3,18,1,1,0,1,1,0,1
SA2017_017002003,20,27,3,38,4,0,5,0,0,0,1,1,3,1
SA2017_017003001,20,10,1,35,4,1,7,1,3,0,1,0,0,0
SA2017_017003002,23,24,2,51,2,0,8,0,1,0,0,2,0,1
SA2017_017004001,15,14,6,39,8,1,12,2,2,0,0,1,2,0
SA2017_017004002,11,9,1,35,1,2,5,1,1,0,0,0,2,2
SA2017_017004003,20,11,1,15,3,0,6,0,2,0,2,0,3,2
SA2017_017005001,18,12,2,35,5,1,1,1,0,0,0,2,1,1
SA2017_017005002,15,16,0,26,0,0,5,1,2,0,0,3,2,0
SA2017_017006001,22,21,3,52,0,3,7,0,3,0,1,3,3,0
SA2017_017007001,22,14,1,38,3,0,5,0,2,0,0,1,5,1
SA2017_017008001,15,14,5,19,0,0,3,2,6,0,0,2,3,2
SA2017_017008002,10,12,3,43,2,0,4,1,0,0,1,2,2,1
SA2017_017008003,25,16,3,18,1,4,5,1,2,0,1,0,2,1
SA2017_017008004,32,14,3,35,12,4,19,2,2,0,1,2,1,3
SA2017_017009001,12,11,3,39,4,1,5,1,2,0,0,4,1,2
SA2017_017009002,17,9,1,37,5,0,6,3,0,0,1,4,0,0
SA2017_017010001,29,23,7,20,4,0,2,1,0,1,3,0,2,10
SA2017_017010002,30,31,2,15,1,1,5,2,1,0,2,1,2,15
SA2017_017010003,27,30,1,33,1,2,6,0,1,0,2,2,1,1
SA2017_017010004,37,29,0,36,3,2,12,2,3,0,1,0,2,3
SA2017_017010005,24,10,1,12,2,1,1,0,1,0,1,1,2,23
SA2017_017010006,19,13,2,28,5,2,4,2,5,0,2,0,1,7
SA2017_017010007,19,5,3,16,2,0,14,2,0,0,1,0,9,17
SA2017_017010008,16,8,7,36,24,0,36,2,8,0,2,4,2,2
SA2017_017010009,17,9,6,38,16,1,21,4,3,0,3,1,1,7
SA2017_017010010,19,8,7,41,8,1,21,1,2,0,1,1,5,5
SA2017_017010011,28,8,5,57,8,0,12,1,4,0,2,2,0,5
SA2017_017010012,24,17,6,34,4,2,9,1,1,0,1,0,1,5
SA2017_017010013,22,22,7,45,4,8,13,0,1,0,0,4,0,3
SA2017_017010014,17,5,3,36,6,0,10,0,2,0,2,0,1,2
SA2017_017010015,43,27,2,28,3,2,2,1,2,0,1,0,0,1
SA2017_017010016,40,28,2,20,4,3,3,2,1,0,2,0,5,4
SA2017_017010017,33,7,4,39,7,2,25,1,1,0,1,0,3,2
SA2017_017010018,22,11,7,35,5,3,16,1,0,0,1,1,1,2
SA2017_017010019,11,12,3,31,1,1,5,0,1,0,0,1,1,4
SA2017_017010020,14,6,2,27,7,0,10,1,1,0,1,0,2,2
SA2017_017010021,9,4,1,38,7,1,6,1,2,0,0,0,0,2
SA2017_017010022,19,13,0,36,5,1,10,2,2,0,1,4,1,1
SA2017_017010023,18,10,2,26,4,3,13,1,3,0,2,0,1,2
SA2017_017010024,18,22,1,12,2,0,7,0,1,0,2,1,1,5
SA2017_017010025,13,7,7,13,9,1,14,1,2,0,0,4,1,7
SA2017_017010026,12,6,5,33,6,3,17,3,5,1,1,4,2,5
SA2017_017010027,11,4,4,26,9,3,17,3,6,1,2,1,3,14
SA2017_017010028,40,17,9,38,13,1,36,0,3,0,2,5,4,6
SA2017_017010029,28,19,6,32,13,1,11,0,2,0,1,1,1,6
SA2017_017010030,11,9,9,23,5,1,8,0,1,2,0,0,2,6
SA2017_017010031,17,11,6,33,3,0,10,0,2,0,2,1,2,5
SA2017_017010032,17,14,5,24,5,1,12,0,1,0,0,0,0,8
SA2017_017010033,25,23,6,55,3,1,5,2,4,0,2,1,0,3
SA2017_017010034/01,20,13,11,31,10,0,6,0,0,0,1,0,0,4
SA2017_017010034/02,6,9,4,44,3,0,6,0,0,0,2,0,1,0
SA2017_017010035,31,33,2,27,3,1,11,2,2,0,1,1,1,2
SA2017_017010036,25,11,2,26,4,1,13,1,0,0,0,1,2,4
SA2017_017010037,37,18,6,27,6,3,14,0,2,0,2,1,3,10
SA2017_017010038,23,23,1,34,2,3,3,1,2,0,0,2,0,1
SA2017_017010039,26,28,4,31,3,6,6,1,4,0,1,2,2,0
SA2017_017010040,30,24,3,34,5,2,18,2,2,0,1,1,1,7
SA2017_017010041,24,10,5,36,18,3,33,1,2,0,5,4,1,0
SA2017_017010042,17,10,0,47,16,5,28,2,5,0,1,1,2,1
SA2017_017010043,29,24,3,26,6,3,21,0,1,0,3,6,1,2
SA2017_017010044,26,28,3,22,1,2,5,1,4,0,1,0,1,2
SA2017_017010045,27,11,1,23,7,1,6,0,1,0,1,1,5,6
SA2017_017010046,24,16,4,21,5,0,3,0,3,0,0,0,2,0
SA2017_017010047,11,5,4,45,18,0,22,0,2,0,3,0,0,3
SA2017_017010048,7,4,10,22,9,1,12,1,1,0,2,1,1,5
SA2017_017010049,12,4,4,18,8,1,11,0,3,0,0,0,2,5
SA2017_017011001,19,7,6,3,2,0,2,0,0,0,0,0,2,21
SA2017_017011002,52,11,2,13,5,3,10,0,1,0,2,1,2,12
SA2017_017011003,26,4,7,1,0,0,0,0,0,0,0,0,2,12
SA2017_017011004,29,1,8,3,5,0,7,3,1,0,1,0,3,10
SA2017_017011005,43,2,2,4,1,0,1,0,0,0,1,0,3,16
SA2017_017011006,38,4,4,13,3,3,3,1,0,0,0,0,1,4
SA2017_017011007,35,10,8,19,8,1,17,0,0,0,1,0,3,10
SA2017_017011008,28,11,1,8,3,1,3,1,2,0,0,0,4,1
SA2017_017011009,23,21,5,10,2,0,5,0,2,0,1,0,1,6
SA2017_017011010,41,7,6,4,1,1,3,0,1,0,0,0,4,8
SA2017_017011011,41,10,9,11,6,3,8,0,3,0,0,0,5,20
