sa_2015_code,one_person,married_couple,cohabiting_couple,married_couple_with_children,cohabiting_couple_with_children,one_parent_family_father_with_children,one_parent_family_mother_and_children,couple_and_others,couple_with_children_and_others,one_parent_family_father_with_children_and_others,one_parent_family_mother_with_children_and_others,two_or_more_family_units,non_family_households_and_relations,two_or_more_non_related_persons
SA2017_017011012,42,17,1,20,1,4,15,1,2,0,0,0,3,5
SA2017_017011013,35,3,0,4,2,2,8,0,1,0,0,1,3,4
SA2017_017011014,21,6,2,18,4,1,4,3,1,0,3,0,3,8
SA2017_017011015,24,10,3,7,3,3,6,0,2,1,0,1,2,1
SA2017_017011016,22,16,3,14,2,1,5,1,2,1,0,0,3,3
SA2017_017011017,19,18,2,20,4,1,19,4,4,1,5,1,4,1
SA2017_017011018,33,13,0,13,1,3,7,1,0,0,1,3,5,1
SA2017_017011019,39,15,2,12,5,1,7,0,3,0,2,1,4,9
SA2017_017011020,38,14,4,18,4,2,9,1,1,0,1,1,4,8
SA2017_017011021,26,0,2,4,0,0,0,0,1,0,0,0,0,9
SA2017_017011022,35,10,3,19,5,1,12,2,2,0,2,3,7,1
SA2017_017011023,33,18,1,24,4,2,15,2,5,1,0,4,6,2
SA2017_017011024,35,9,3,9,2,1,11,1,0,0,1,1,6,4
SA2017_017012001,23,29,0,25,8,2,16,1,2,1,0,6,4,0
SA2017_017012002/017012003,17,14,1,29,4,0,5,1,2,0,0,3,2,1
SA2017_017012004/01,11,11,4,43,10,0,4,2,3,0,0,0,1,1
SA2017_017012004/02,10,8,2,23,9,0,12,0,0,0,0,0,1,1
SA2017_017013001,13,24,1,33,3,2,4,0,2,0,1,1,1,3
SA2017_017013002,18,16,2,44,3,1,9,2,2,0,1,1,0,1
SA2017_017013003,11,13,1,37,5,0,1,1,1,0,0,0,0,0
SA2017_017013004,23,18,1,34,5,0,10,0,3,0,0,0,0,0
SA2017_017014001,21,9,2,30,3,0,3,0,2,0,1,3,4,0
SA2017_017014002,20,23,3,46,5,0,6,1,0,0,0,1,0,2
SA2017_017015001,16,10,2,27,2,4,3,1,2,0,1,0,8,0
SA2017_017016001,17,12,3,45,2,3,9,0,0,0,0,1,1,2
SA2017_017016002,21,15,0,37,3,0,9,0,2,0,0,4,1,0
SA2017_017017001,9,20,3,27,5,1,6,1,2,0,0,0,2,1
SA2017_017017002,14,10,6,32,7,1,6,1,3,0,0,3,1,5
SA2017_017017003,23,18,2,47,9,0,6,0,1,0,2,2,0,0
SA2017_017017004,32,25,1,25,1,0,12,1,3,0,2,2,2,4
SA2017_017018001,17,12,2,22,2,3,8,0,3,0,0,0,0,0
SA2017_017018002,23,12,3,55,4,1,8,2,1,1,0,2,0,0
SA2017_017018003,8,6,7,36,13,2,10,0,1,0,0,0,1,1
SA2017_017019001,21,22,1,44,1,2,8,2,1,1,2,0,0,0
SA2017_017019002,20,18,3,38,4,2,5,2,0,0,0,2,1,2
SA2017_017020001,31,21,6,40,4,0,8,2,6,1,3,4,2,2
SA2017_017021001,22,16,3,30,2,1,9,0,1,2,0,1,1,0
SA2017_017021002,23,16,13,23,4,0,12,0,0,0,1,0,2,1
SA2017_017022001,9,16,2,29,3,1,4,1,5,0,0,0,2,0
SA2017_017022002,15,13,1,41,7,4,4,0,2,0,1,1,3,1
SA2017_017022003,33,21,6,29,5,1,25,2,1,0,4,2,2,0
SA2017_017022004,24,13,6,24,7,3,17,0,0,0,3,3,0,2
SA2017_017023001,27,11,1,36,8,0,8,0,5,0,1,2,1,0
SA2017_017024001,21,20,1,40,2,3,4,1,3,0,2,1,0,0
SA2017_017024002,16,22,2,39,1,2,8,1,4,0,3,1,2,0
SA2017_017025001,29,16,4,49,7,2,19,0,2,0,0,1,3,1
SA2017_017025002,16,14,3,40,3,2,3,1,3,0,0,1,0,1
SA2017_017025003,29,24,2,48,3,1,5,2,3,0,0,3,1,0
SA2017_017026001,10,20,1,34,2,1,4,1,0,0,1,2,0,0
SA2017_017026002,11,20,3,24,6,2,1,2,3,0,1,0,1,0
SA2017_017027001,13,10,3,31,1,2,3,1,0,0,0,0,2,1
SA2017_017027002,13,14,5,31,2,2,3,0,2,0,2,1,0,0
SA2017_017028001,15,16,2,63,1,1,6,2,3,0,2,1,3,0
SA2017_017029001,32,18,3,44,3,0,4,0,7,0,0,3,4,2
SA2017_017030001,32,17,1,50,3,0,4,0,0,0,0,1,3,2
SA2017_017031001,13,17,1,43,3,1,8,1,5,0,1,1,5,1
SA2017_017031002,12,14,1,33,2,2,9,0,1,0,1,1,2,2
SA2017_017031003,38,15,2,30,2,8,11,0,2,0,0,2,6,1
SA2017_017031004,41,16,5,21,6,0,13,0,1,1,1,1,4,4
SA2017_017031005,25,11,4,51,8,3,11,1,2,0,0,0,1,0
SA2017_017031006,27,10,4,21,3,0,6,2,0,0,0,0,3,4
SA2017_017032001,24,14,3,55,3,3,10,2,5,0,1,4,3,1
SA2017_017033001,24,35,7,48,8,3,10,1,2,0,2,2,3,1
SA2017_017033002,12,15,0,32,2,0,6,2,5,0,0,0,6,0
SA2017_017034001,27,10,1,18,2,4,9,0,2,0,1,0,3,1
SA2017_017034002,23,17,1,30,3,2,10,1,2,1,0,1,1,0
SA2017_017034003,18,24,3,33,8,0,17,1,2,0,3,1,2,0
SA2017_017034004,23,1,1,31,19,1,20,1,2,0,1,0,0,0
SA2017_017034005,7,3,2,43,13,2,15,3,2,0,2,1,1,3
SA2017_017034006,33,28,4,35,5,1,9,1,2,0,2,1,10,2
SA2017_017034007,17,9,0,22,3,0,13,0,3,0,1,3,1,0
SA2017_017034008,37,12,1,20,6,3,11,0,1,0,2,3,1,4
SA2017_017034009,33,17,5,28,1,2,5,2,0,1,1,2,3,3
SA2017_017034010,37,12,5,23,3,3,4,0,1,0,2,0,2,1
SA2017_017034011,40,10,4,16,3,1,9,1,0,0,1,2,2,4
SA2017_017035001,10,9,3,25,4,1,6,0,6,0,1,0,0,0
SA2017_017035002,24,27,4,43,10,4,20,0,1,0,0,2,2,0
SA2017_017036001,16,20,5,37,2,2,6,0,1,1,1,2,5,0
SA2017_017036002,23,15,2,47,1,0,6,1,3,1,0,1,3,3
SA2017_017036003,6,8,3,50,1,0,6,3,1,1,1,1,0,1
SA2017_017037001,18,16,1,66,3,3,5,0,2,0,0,0,0,1
SA2017_017037002,24,5,0,26,7,1,12,2,1,0,0,1,0,0
SA2017_017038001,19,15,3,29,8,2,2,0,3,0,1,1,0,0
SA2017_017038002,14,21,3,33,3,0,10,3,1,1,1,1,3,1
SA2017_017038003,18,7,2,32,3,0,4,1,2,0,2,1,1,2
SA2017_017039001,15,16,1,13,2,0,3,0,0,0,0,0,1,0
SA2017_017040001/017040002,19,19,4,54,4,2,10,3,2,0,3,3,3,0
SA2017_017041001,18,19,5,63,8,3,12,1,3,0,0,1,1,1
SA2017_017041002,12,21,3,37,3,1,4,1,3,0,0,2,4,3
SA2017_017041003,19,4,0,59,7,0,11,1,5,0,1,0,0,2
SA2017_017042001,23,9,5,10,5,3,10,0,1,0,2,0,2,0
SA2017_017042002,13,11,1,28,3,1,4,2,2,1,1,2,3,0
SA2017_017042003,16,14,2,22,4,0,3,0,1,0,1,0,1,0
SA2017_017042004,27,13,2,27,12,1,16,0,3,0,4,0,0,0
SA2017_017043001,14,13,3,38,5,2,6,2,4,0,1,1,1,1
SA2017_017044001,19,11,1,39,1,3,7,0,2,0,0,1,2,2
SA2017_017044002,15,6,4,40,1,2,6,1,2,0,0,3,1,0
SA2017_017045001,11,15,2,36,5,1,8,1,0,0,1,2,0,1
SA2017_017045002,22,16,9,34,1,0,7,0,1,0,1,0,2,1
SA2017_017046001,20,31,4,62,4,3,5,2,1,0,5,2,1,3
SA2017_017047001,12,17,1,33,1,1,2,0,0,1,0,1,3,0
SA2017_017047002,12,21,2,28,3,2,1,0,2,0,0,2,0,1
SA2017_017048001,18,19,4,44,9,2,7,3,3,0,0,0,3,0
SA2017_017049001,22,14,6,58,4,3,4,0,1,0,0,2,1,1
SA2017_017049002,26,10,6,13,1,3,5,0,3,0,0,1,2,1
SA2017_017049003,16,20,4,12,2,1,2,1,3,0,0,0,1,1
SA2017_017050001,11,9,7,9,6,1,5,0,1,0,0,1,0,2
SA2017_017050002,12,12,1,32,1,2,4,1,0,0,0,3,0,0
SA2017_017050003,11,11,3,15,6,0,6,2,4,0,0,0,2,3
SA2017_017050004,14,26,0,23,1,0,3,0,1,0,2,1,2,3
SA2017_017051001,23,10,4,19,14,0,21,2,4,1,2,0,3,2
SA2017_017051002,44,10,7,16,6,1,7,1,1,1,0,0,2,10
SA2017_017051003,31,25,1,21,3,1,9,1,0,3,4,3,2,0
SA2017_017051004,33,14,6,25,16,3,16,1,2,0,1,0,0,3
SA2017_017051005,54,8,5,12,7,0,8,0,1,1,5,1,6,3
SA2017_017051006,27,23,3,17,7,0,4,0,1,0,2,0,2,2
SA2017_017051007,25,7,4,49,17,1,21,0,1,0,2,1,1,1
SA2017_017051008,19,12,8,46,10,4,5,3,4,1,4,0,3,1
SA2017_017051009,34,18,3,32,2,3,5,0,4,1,1,3,4,2
SA2017_017051010,17,9,5,19,14,2,20,3,2,0,2,1,2,1
SA2017_017051011,21,5,3,25,15,2,21,0,1,0,2,2,5,8
SA2017_017051012,6,9,2,35,11,1,7,2,3,0,1,1,2,0
SA2017_017051013,17,8,3,37,22,0,25,5,3,1,2,0,3,3
SA2017_017051014,17,2,3,14,6,1,10,0,1,1,1,0,1,0
SA2017_017052001,19,18,4,32,5,1,8,1,2,1,1,5,3,0
SA2017_017052002,13,20,2,45,3,0,3,1,4,0,0,1,3,1
SA2017_017053001,24,22,3,36,1,1,6,2,1,1,0,1,2,1
SA2017_017054001,50,14,6,23,6,1,17,3,1,0,0,2,2,4
SA2017_017054002,33,6,5,10,3,1,3,0,1,0,2,0,0,4
SA2017_017054003,38,6,2,16,2,0,5,0,1,0,0,1,1,8
SA2017_017054004/017054005,44,14,13,19,7,1,13,1,1,0,0,0,6,23
SA2017_017054006,21,20,3,18,7,0,16,3,3,1,0,2,4,1
SA2017_017054007,34,14,1,8,6,3,8,3,1,1,0,1,8,4
SA2017_027001001,12,14,1,28,4,0,6,0,0,0,0,0,0,0
SA2017_027001002,8,20,0,22,2,2,4,0,0,0,1,0,2,0
SA2017_027001003,19,13,3,16,2,0,3,0,2,0,0,0,1,2
SA2017_027001004,11,17,2,26,0,0,5,0,1,0,0,0,0,0
SA2017_027002001,19,12,4,18,3,1,4,0,0,0,0,0,2,0
SA2017_027002002,10,18,1,22,2,1,9,0,1,0,0,0,0,1
SA2017_027002003,18,19,1,24,7,3,7,1,0,0,0,1,0,1
SA2017_027002004,17,10,0,23,1,1,1,0,1,0,1,0,2,0
SA2017_027002005,26,15,3,21,6,4,8,0,0,0,1,1,4,0
SA2017_027003001,15,7,2,26,3,1,5,0,2,1,0,0,1,0
SA2017_027003002,9,18,1,21,0,1,6,0,1,0,0,0,3,0
SA2017_027004001,17,15,2,28,2,0,6,1,1,0,0,1,0,1
SA2017_027004002,25,7,3,31,4,1,4,2,2,0,0,3,1,0
SA2017_027004003,13,21,4,38,2,1,11,0,3,0,0,1,0,2
SA2017_027004004,19,27,2,36,1,2,2,2,4,0,0,2,2,0
SA2017_027004005,11,16,2,39,5,3,6,0,1,0,1,0,1,2
SA2017_027004006,25,10,9,25,12,0,12,1,1,0,0,2,0,0
SA2017_027004007,9,18,1,25,3,1,5,1,2,0,0,0,0,0
SA2017_027004008,18,13,2,17,4,0,5,2,1,0,1,0,2,2
SA2017_027004009,12,15,3,41,2,4,4,0,2,1,0,1,4,2
SA2017_027004010,20,14,3,18,9,0,5,2,1,0,2,1,1,0
SA2017_027004011,20,10,1,27,7,0,11,1,0,0,2,0,1,0
SA2017_027004012,19,11,1,11,6,1,5,1,1,0,1,0,2,0
SA2017_027004013,32,8,4,18,9,1,11,1,1,0,0,0,0,1
SA2017_027004014,21,7,4,18,8,0,21,0,1,0,1,0,2,0
SA2017_027004015,50,12,1,10,2,1,10,0,2,0,1,0,1,0
SA2017_027004016,37,16,6,12,3,0,14,1,2,0,1,0,1,4
SA2017_027004017,48,7,1,6,3,1,0,0,0,0,0,1,3,2
SA2017_027004018,24,17,7,29,5,0,2,0,1,0,0,1,1,1
SA2017_027005001,13,9,2,34,1,1,7,0,3,0,0,2,0,0
SA2017_027005002,15,16,3,24,3,0,4,1,1,0,1,1,2,1
SA2017_027006001,21,15,2,24,6,0,9,1,0,0,0,0,1,0
SA2017_027006002,18,11,0,26,2,0,3,0,0,0,0,1,0,2
SA2017_027006003,23,5,3,11,6,0,8,0,0,0,0,0,0,0
SA2017_027006004,22,16,4,9,0,1,6,0,1,1,0,1,0,1
SA2017_027006005,18,12,1,27,3,2,5,0,1,0,0,1,0,1
SA2017_027006006,17,6,5,25,7,2,7,1,1,1,0,2,0,2
SA2017_027006007,37,5,10,38,11,0,3,3,2,0,3,0,2,3
SA2017_027006008,24,14,4,23,3,0,3,0,1,0,0,1,1,2
SA2017_027007001,27,17,2,40,2,0,3,0,1,0,0,1,2,0
SA2017_027007002,22,11,5,44,2,2,8,1,3,0,1,1,0,1
SA2017_027007003,19,16,6,22,4,4,8,1,3,0,0,0,0,2
SA2017_027007004,35,16,5,24,11,0,12,2,2,1,0,0,3,1
SA2017_027008001,22,14,2,43,4,1,4,0,5,0,1,1,2,1
SA2017_027008002,12,9,0,26,3,1,7,3,4,1,0,1,1,3
SA2017_027008003,14,17,0,33,3,0,3,2,5,0,1,3,2,2
SA2017_027008004,13,8,3,28,8,1,10,1,6,0,1,2,2,3
SA2017_027008005,20,10,2,19,6,1,14,0,2,0,4,1,5,0
SA2017_027008006,23,10,4,24,7,2,8,0,4,0,1,0,7,4
SA2017_027008007,19,5,1,21,6,2,5,2,2,0,1,2,2,1
SA2017_027008008,12,8,2,19,6,0,6,3,1,1,2,5,0,5
SA2017_027008009,27,7,3,32,2,2,11,3,6,0,4,0,2,1
SA2017_027008010,22,21,2,37,2,1,8,1,2,2,1,1,0,1
SA2017_027008011,21,16,3,36,6,3,8,1,1,1,2,1,3,1
SA2017_027008012,11,16,2,52,7,2,11,1,1,0,2,2,0,2
SA2017_027009001,17,7,1,25,2,0,2,2,1,0,0,0,2,0
SA2017_027009002,13,7,4,24,0,2,3,1,2,0,0,1,3,1
SA2017_027009003,19,14,2,26,2,1,1,0,2,0,0,1,1,0
SA2017_027009004,10,17,4,30,6,1,2,0,1,0,0,1,1,1
SA2017_027010001,26,19,3,38,1,0,9,0,0,0,0,0,0,1
SA2017_027011001,21,14,1,31,1,0,4,1,0,0,0,1,1,1
SA2017_027011002,23,10,1,26,0,2,5,0,1,1,0,2,2,0
SA2017_027011003,20,16,1,22,4,0,3,0,3,0,0,0,3,0
SA2017_027012001,27,11,5,22,4,1,12,1,0,0,1,0,2,0
SA2017_027012002,22,24,0,41,5,0,9,1,4,1,1,1,3,1
SA2017_027012003,29,11,1,16,12,1,21,0,1,0,0,0,1,0
SA2017_027012004,32,9,8,18,7,3,13,0,0,0,0,0,4,5
SA2017_027012005,20,13,6,39,12,1,16,1,0,0,0,1,3,3
SA2017_027012006,8,12,0,30,1,1,5,0,0,0,1,1,0,0
SA2017_027013001,17,7,5,21,15,0,17,1,1,0,1,0,0,3
SA2017_027013002,48,13,2,19,5,2,11,0,1,1,1,1,3,3
SA2017_027013003,28,16,2,28,6,0,4,0,0,0,0,1,3,1
SA2017_027013004,26,10,4,15,6,0,2,0,1,0,0,0,0,2
SA2017_027013005,29,12,1,4,1,0,2,1,0,0,1,0,0,1
SA2017_027013006,54,16,0,8,0,1,6,1,0,0,1,0,1,4
SA2017_027013007,15,8,1,5,5,2,0,0,0,0,0,0,0,0
SA2017_027013008,28,9,3,19,6,3,3,3,1,0,1,0,2,3
SA2017_027013009,15,9,4,10,3,1,18,1,0,0,1,0,0,1
SA2017_027014001,16,6,0,9,0,0,0,0,1,1,0,0,0,0
SA2017_027015001,18,8,2,20,1,2,6,1,1,0,0,0,2,0
SA2017_027016001,18,13,1,25,0,3,7,0,0,0,2,0,3,0
SA2017_027017001,31,19,5,45,2,1,16,0,0,0,0,0,2,2
SA2017_027017002,16,13,0,14,3,2,6,0,1,0,2,0,0,0
SA2017_027018001,22,15,2,27,4,3,4,1,2,0,0,3,3,0
SA2017_027018002,22,23,1,39,4,0,10,2,1,1,0,1,2,0
SA2017_027019001,15,16,2,34,1,0,3,0,2,0,0,0,5,0
SA2017_027020001,18,13,4,34,2,0,3,0,4,1,0,3,1,1
SA2017_027020002,18,18,2,43,3,4,4,1,4,1,1,3,1,1
SA2017_027021001,13,12,3,22,2,2,4,0,3,0,0,0,1,1
SA2017_027021002,18,14,0,28,2,2,5,3,1,0,0,2,3,0
SA2017_027022001,19,16,2,37,2,2,8,0,2,0,2,2,2,1
SA2017_027022002,10,15,2,32,1,0,5,1,1,0,0,2,1,2
SA2017_027022003,15,15,0,22,6,2,2,1,1,0,0,1,1,0
SA2017_027022004,8,13,2,27,1,0,6,0,3,0,1,0,2,0
SA2017_027023001,22,17,4,38,4,0,5,0,5,0,3,0,4,1
SA2017_027024001,13,6,8,32,7,0,4,1,2,0,1,0,2,2
SA2017_027024002,34,8,6,55,4,2,12,1,1,1,0,2,3,1
SA2017_027024003,11,7,4,38,4,0,10,0,2,0,4,0,2,4
SA2017_027024004,22,24,6,43,5,1,7,2,2,0,0,3,2,3
SA2017_027024005,14,8,5,40,8,1,14,1,1,0,0,1,0,2
SA2017_027024006,13,11,1,23,10,1,7,0,3,2,0,0,0,3
SA2017_027024007,11,9,6,46,13,1,12,0,4,0,4,1,4,8
SA2017_027024008,9,2,2,40,7,1,14,1,2,1,1,3,0,1
SA2017_027024009,9,14,0,37,4,0,9,1,2,0,1,0,2,1
SA2017_027024010,21,9,6,20,5,2,10,1,1,0,0,0,2,4
SA2017_027024011,27,8,9,40,9,2,6,1,4,0,0,0,1,2
SA2017_027024012,34,12,5,27,1,0,8,0,0,0,3,1,5,6
SA2017_027024013,38,10,0,11,0,0,2,0,2,0,0,0,1,2
SA2017_027024014,8,6,1,19,3,1,0,0,0,0,0,0,0,0
SA2017_027024015,14,32,0,37,1,1,8,0,0,0,0,0,0,0
SA2017_027024016,35,21,4,27,6,4,5,3,2,1,2,4,0,3
SA2017_027024017,25,7,6,38,5,0,3,0,2,0,1,0,2,0
SA2017_027024018,26,8,5,34,5,0,14,1,6,0,1,0,2,12
SA2017_027024019,36,31,4,27,2,1,8,1,3,0,2,1,2,3
SA2017_027024020,15,22,10,44,11,1,18,3,2,1,2,0,3,3
SA2017_027024021,20,4,4,31,5,4,7,0,3,0,0,2,1,9
SA2017_027024022,23,18,2,40,3,1,14,0,4,0,1,1,3,2
SA2017_027024023,32,28,3,14,0,1,1,0,1,0,0,0,1,1
SA2017_027024024,23,13,4,38,11,1,29,0,2,0,2,1,1,3
SA2017_027024025,14,3,3,30,1,1,9,0,1,0,2,2,2,0
SA2017_027024026,13,28,1,52,0,2,8,1,2,0,0,0,0,0
SA2017_027024027,21,4,5,20,6,0,10,1,1,0,0,0,1,3
SA2017_027024028,13,5,7,13,7,0,5,1,2,0,1,0,6,9
SA2017_027025001,18,8,5,27,6,3,10,1,0,2,0,0,2,3
SA2017_027025002,33,14,0,4,2,0,3,0,1,0,0,0,2,4
SA2017_027025003,19,11,3,27,18,3,18,0,1,0,2,1,1,2
SA2017_027025004,38,12,5,24,3,0,3,0,1,0,0,2,2,3
SA2017_027025005,9,9,2,24,9,0,12,2,5,1,1,1,2,1
SA2017_027025006,40,13,3,15,2,2,10,0,2,0,2,0,4,0
SA2017_027025007,63,11,2,14,0,1,8,2,1,0,1,0,9,6
SA2017_027025008,19,4,8,14,4,0,14,1,4,0,4,2,3,4
SA2017_027025009,40,4,5,9,2,0,6,0,1,0,0,1,2,9
SA2017_027025010,19,14,5,31,8,2,8,2,2,0,0,2,4,3
SA2017_027025011,32,13,3,30,17,6,24,0,1,0,0,1,3,0
SA2017_027025012,44,6,2,8,1,1,9,0,1,1,1,0,2,2
SA2017_027025013,27,4,7,10,2,0,2,0,0,0,0,0,0,7
SA2017_027025014,28,10,1,12,4,3,9,2,1,0,1,0,2,3
SA2017_027025015,27,4,4,3,1,0,4,1,1,0,0,1,4,5
SA2017_027025016,47,10,2,13,1,0,6,0,0,0,0,1,1,6
SA2017_027025017,44,18,5,21,1,2,10,1,1,0,0,2,1,5
SA2017_027025018,19,3,2,19,6,1,11,1,2,0,1,0,3,6
SA2017_027026001,16,26,0,62,4,3,4,3,3,0,1,2,1,0
SA2017_027026002,17,24,3,71,1,2,9,0,2,0,1,4,2,1
SA2017_027027001,24,12,0,52,4,0,6,0,1,0,0,1,1,0
SA2017_027027002,19,14,9,23,8,3,7,0,0,0,2,1,4,1
SA2017_027027003,24,17,2,40,4,1,8,1,2,1,0,1,1,0
SA2017_027027004,22,14,2,30,3,2,9,0,1,0,1,2,0,1
SA2017_027028001,16,11,2,22,1,2,9,1,0,0,0,2,1,0
SA2017_027028002,31,4,3,11,5,0,6,1,0,0,0,0,3,2
SA2017_027028003,32,14,7,18,9,0,6,0,2,0,1,0,0,2
SA2017_027028004,32,10,2,26,3,2,2,1,1,0,0,0,0,0
SA2017_027028005,47,12,2,15,2,1,7,0,0,0,1,1,2,1
SA2017_027028006,21,9,2,8,1,1,3,1,1,0,2,1,1,0
SA2017_027028007,41,22,4,25,10,1,22,0,2,0,1,0,0,1
SA2017_027028008,50,15,2,29,9,1,14,0,0,0,2,2,2,0
SA2017_027029001,21,19,1,38,1,2,7,1,1,0,0,1,3,0
